Geracao,Melhor_Geracao,Pior_Geracao,Melhor_Geral
786,1685548,1766060,1685548
787,1685443,1773775,1685548
788,1685443,1782160,1685443
789,1685548,1820665,1685443
790,1685548,1781572,1685443
791,1685548,1767062,1685443
792,1685548,1777641,1685443
793,1685443,1786096,1685443
794,1685548,1772636,1685443
795,1685443,1775496,1685443
796,1685443,1766074,1685443
797,1685443,1771750,1685443
798,1685443,1765400,1685443
799,1685443,1773199,1685443
800,1685443,1774659,1685443
801,1685443,1781080,1685443
802,1685443,1765582,1685443
803,1685443,1777529,1685443
804,1685443,1774760,1685443
805,1685443,1784764,1685443
806,1685443,1768075,1685443
807,1685443,1775188,1685443
808,1685443,1776310,1685443
809,1685443,1777626,1685443
810,1685443,1778048,1685443
811,1685443,1772930,1685443
812,1685443,1788827,1685443
813,1685443,1774474,1685443
814,1685443,1772863,1685443
815,1685443,1781897,1685443
816,1685443,1782677,1685443
817,1685443,1791403,1685443
818,1685443,1772220,1685443
819,1685443,1775029,1685443
820,1685443,1779177,1685443
821,1685443,1769879,1685443
822,1685443,1775257,1685443
823,1685443,1769690,1685443
824,1685443,1774306,1685443
825,1685443,1776684,1685443
826,1685443,1772480,1685443
827,1685443,1779767,1685443
828,1685443,1764936,1685443
829,1685443,1767689,1685443
830,1685443,1774287,1685443
831,1685443,1801242,1685443
832,1685443,1777784,1685443
833,1685443,1772502,1685443
834,1685443,1777963,1685443
835,1685443,1765089,1685443
836,1685443,1828540,1685443
837,1685443,1778382,1685443
838,1685443,1766339,1685443
839,1685443,1770742,1685443
840,1685443,1766952,1685443
841,1685443,1780833,1685443
842,1685443,1788370,1685443
843,1685443,1777297,1685443
844,1685443,1768899,1685443
845,1685443,1761294,1685443
846,1685436,1775580,1685443
847,1685436,1760021,1685436
848,1685436,1778040,1685436
849,1685436,1787166,1685436
850,1685436,1771186,1685436
851,1685436,1770573,1685436
852,1685436,1763207,1685436
853,1685436,1776639,1685436
854,1685436,1774978,1685436
855,1685436,1777043,1685436
856,1685436,1771069,1685436
857,1685436,1768022,1685436
858,1685436,1770833,1685436
859,1685209,1781589,1685436
860,1685436,1776937,1685209
861,1685436,1779878,1685209
862,1685209,1793692,1685209

Precisao,Condicao_Parada,Tempo,Melhor_Fitness
0.9334652259749384,TEMPO_ESGOTADO,9001,1685209

tamanho_populacao,k_individuos_selecao,posicoes_cruzamento,busca_local_profundidade,taxa_busca_local,taxa_cruzamento,taxa_mutacao,taxa_sobrevivencia
50,3,50,0.1,0.8,0.05,0.6
